Title;Categories
Japanese Journal of Anesthesiology;"Anesthesiology and Pain Medicine (Q4); Medicine (miscellaneous) (Q4)"
Japanese Journal of Leprosy;"Dermatology (Q4); Infectious Diseases (Q4); Medicine (miscellaneous) (Q4)"
Japanese Journal of Neurosurgery;"Neurology (clinical) (Q4); Surgery (Q4)"
JK Science;Internal Medicine (Q4)
Journal fur Asthetische Chirurgie;Surgery (Q4)
Journalism history;Communication (Q4)
Journal of Advanced Zoology;Animal Science and Zoology (Q4)
Journal of Asian History;"History (Q3); Cultural Studies (Q4); Sociology and Political Science (Q4)"
Journal of Contemporary Iraq and the Arab World;"Arts and Humanities (miscellaneous) (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)"
Journal of Interventional Radiology;Radiology, Nuclear Medicine and Imaging (Q4)
Journal of Islamic Architecture;"Religious Studies (Q3); Archeology (arts and humanities) (Q4); Architecture (Q4); Building and Construction (Q4); History and Philosophy of Science (Q4); Urban Studies (Q4)"
Journal of Jilin University Medicine Edition;Pharmacology (Q4)
Journal of Law, Religion and State;"Religious Studies (Q3); Law (Q4); Sociology and Political Science (Q4)"
Journal of Medieval Monastic Studies;"History (Q3); Religious Studies (Q3); Visual Arts and Performing Arts (Q3); Archeology (arts and humanities) (Q4)"
Journal of Presbyterian History;"History (Q3); Religious Studies (Q3)"
Journal of Property Tax Assessment and Administration;"Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4); Law (Q4)"
Journal of Scottish Historical Studies;"History (Q3); Anthropology (Q4); Cultural Studies (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4)"
Journal of South India Medicolegal Association;Pathology and Forensic Medicine (Q4)
Journal of the Ghana Science Association;"Agricultural and Biological Sciences (miscellaneous) (Q4); Agronomy and Crop Science (Q4); Animal Science and Zoology (Q4); Soil Science (Q4)"
Journal of the Institute of Electrical Engineers of Japan;Electrical and Electronic Engineering (Q4)
Kalbotyra;Linguistics and Language (Q4)
Kamchatka;"History (Q3); Literature and Literary Theory (Q3); Communication (Q4); Cultural Studies (Q4); Linguistics and Language (Q4)"
Kirchliche Zeitgeschichte;"History (Q3); Religious Studies (Q3)"
Kriminologisches Journal;"Law (Q4); Safety Research (Q4)"
Languages Cultures Mediation;"Communication (Q4); Cultural Studies (Q4); Linguistics and Language (Q4); Sociology and Political Science (Q4)"
Latin-American Journal of Discourse Studies;"Communication (Q4); Linguistics and Language (Q4)"
Legal Ethics;"Law (Q4); Philosophy (Q4)"
Lege Artis Medicinae;Medicine (miscellaneous) (Q4)
Leviathan;Literature and Literary Theory (Q3)
Lighting Design and Application: LD and A;"Atomic and Molecular Physics, and Optics (Q4); Electrical and Electronic Engineering (Q4)"
Litteraria Pragensia;"Literature and Literary Theory (Q3); Visual Arts and Performing Arts (Q3); Cultural Studies (Q4)"
Lizi Jiaohuan Yu Xifu/Ion Exchange and Adsorption;"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4)"
Mathematics for Applications;"Applied Mathematics (Q4); Mathematics (miscellaneous) (Q4)"
Middle Kingdom Studies;"Anthropology (Q4); Archeology (Q4); Arts and Humanities (miscellaneous) (Q4); Linguistics and Language (Q4)"
Modern Philology;"Literature and Literary Theory (Q3); Cultural Studies (Q4); Linguistics and Language (Q4)"
Modulo Arquitectura CUC;"Visual Arts and Performing Arts (Q3); Architecture (Q4); Arts and Humanities (miscellaneous) (Q4); Urban Studies (Q4)"
Nanotechnology Perceptions;"Condensed Matter Physics (Q4); Engineering (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4); Nanoscience and Nanotechnology (Q4)"
Natur und Recht;"Agricultural and Biological Sciences (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4)"
Neurophysiologie-Labor;"Neurology (clinical) (Q4); Pathology and Forensic Medicine (Q4); Physiology (medical) (Q4)"
Noctua;"History (Q3); Arts and Humanities (miscellaneous) (Q4); History and Philosophy of Science (Q4); Philosophy (Q4)"
Northeast African Studies;"History (Q3); Cultural Studies (Q4)"
Online (Wilton, Connecticut);"Computer Science Applications (Q4); Information Systems (Q4)"
Paediatria Croatica;Pediatrics, Perinatology and Child Health (Q4)
Pakistan Journal of Ophthalmology;Ophthalmology (Q4)
Pennsylvania Geographer;"Earth and Planetary Sciences (miscellaneous) (Q4); Geography, Planning and Development (Q4)"
Performance Apparel Markets;Materials Science (miscellaneous) (Q4)
Perspectives on Political Science;"Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
Pharmaceutical Engineering;Pharmaceutical Science (Q4)
Planning;Geography, Planning and Development (Q4)
Politica del Diritto;Law (Q4)
Pomegranate;"Religious Studies (Q3); Cultural Studies (Q4)"
PORTAL: Journal of Multidisciplinary International Studies;"Anthropology (Q4); Cultural Studies (Q4); Demography (Q4)"
Pouvoirs: Revue d'Etudes Constitutionnelles et Politiques;"Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
Pratiques en Nutrition;Nutrition and Dietetics (Q4)
Purushartha;"Philosophy (Q4); Strategy and Management (Q4)"
Quinnipiac Law Review;Law (Q4)
Quiroga;"Visual Arts and Performing Arts (Q3); Conservation (Q4); Museology (Q4)"
R and D: Research and Development Kobe Steel Engineering Reports;"Materials Chemistry (Q4); Mechanics of Materials (Q4); Metals and Alloys (Q4)"
Rassegna Iberistica;"Literature and Literary Theory (Q3); Linguistics and Language (Q4)"
Reception: Texts, Readers, Audiences, History;"History (Q3); Literature and Literary Theory (Q3); Communication (Q4); Cultural Studies (Q4)"
Research in Global Strategic Management;Business and International Management (Q4)
Reserve Bank of India Occasional Papers;Economics, Econometrics and Finance (miscellaneous) (Q4)
Reti Medievali Rivista;History (Q3)
Review of Applied Socio-Economic Research;"Business and International Management (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4); Marketing (Q4); Social Sciences (miscellaneous) (Q4)"
Review of European and Russian Affairs;"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
Revista Chilena de Cirugia;Surgery (Q4)
Revista de Critica Literaria Latinoamericana;"Literature and Literary Theory (Q3); Cultural Studies (Q4)"
Revista de Etnografie si Folclor;"Anthropology (Q4); Cultural Studies (Q4)"
Revista de Filosofia (Venezuela);Philosophy (Q4)
Revista de Obras Publicas;Civil and Structural Engineering (Q4)
Revista de Quimica e Industria Textil;"Business and International Management (Q4); Chemical Engineering (miscellaneous) (Q4); Industrial and Manufacturing Engineering (Q4); Polymers and Plastics (Q4)"
Revue de Metaphysique et de Morale;Philosophy (Q4)
Revue du Rhumatisme Monographies;Rheumatology (Q4)
Rivista Italiana di Medicina dell'Adolescenza;Pediatrics, Perinatology and Child Health (Q4)
Romance Studies;Literature and Literary Theory (Q3)
Rubber World;"Materials Chemistry (Q4); Polymers and Plastics (Q4)"
Russian Studies in Philosophy;Philosophy (Q4)
Sartre Studies International;"Literature and Literary Theory (Q3); Philosophy (Q4)"
Scandinavian Psychologist;Psychology (miscellaneous) (Q4)
Schedae Informaticae;Computer Science (miscellaneous) (Q4)
Seybold Report;"Media Technology (Q3); Marketing (Q4)"
Sintagma;Linguistics and Language (Q4)
Sociedade e Cultura;"Arts and Humanities (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)"
Sokendai Review of Cultural and Social Studies;"Cultural Studies (Q4); Social Sciences (miscellaneous) (Q4)"
SpringerBriefs in Applied Sciences and Technology;"Biotechnology (Q4); Chemical Engineering (miscellaneous) (Q4); Energy Engineering and Power Technology (Q4); Engineering (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4)"
Springer Geography;"Earth and Planetary Sciences (miscellaneous) (Q4); Geography, Planning and Development (Q4); Nature and Landscape Conservation (Q4); Urban Studies (Q4)"
Stadsgeschiedenis;"History (Q3); Urban Studies (Q4)"
Studies in Romanticism;Literature and Literary Theory (Q3)
Taiwanese Journal of Agricultural Chemistry and Food Science;"Agronomy and Crop Science (Q4); Applied Microbiology and Biotechnology (Q4); Food Science (Q4)"
Technische Textilien;"Business, Management and Accounting (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Industrial and Manufacturing Engineering (Q4); Polymers and Plastics (Q4)"
Textiles Trends;"Business, Management and Accounting (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Industrial and Manufacturing Engineering (Q4); Polymers and Plastics (Q4)"
Thomas Wolfe Review;Literature and Literary Theory (Q3)
Tijdschrift van de Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis;Music (Q3)
Timber Bulletin;"Forestry (Q4); Materials Science (miscellaneous) (Q4)"
Token;"Communication (Q4); Linguistics and Language (Q4)"
Translation and Literature;"Literature and Literary Theory (Q3); Linguistics and Language (Q4)"
Universitatis Iagellonicae Acta Mathematica;"Algebra and Number Theory (Q4); Analysis (Q4); Geometry and Topology (Q4)"
U.S. Geological Survey Scientific Investigations Map;"Geology (Q4); Geophysics (Q4); Paleontology (Q4); Stratigraphy (Q4)"
Usuteaduslik Ajakiri;Religious Studies (Q3)
Verbum(Lithuania);"Education (Q4); Linguistics and Language (Q4)"
Volkskunde;"History (Q3); Anthropology (Q4); Cultural Studies (Q4)"
Wellsian;Literature and Literary Theory (Q3)
Word of Mouth;Education (Q4)
World of Music;Music (Q3)
Wuhan Ligong Daxue Xuebao/Journal of Wuhan University of Technology;Engineering (miscellaneous) (Q4)
Zbornik za Umetnostno Zgodovino;"History (Q3); Visual Arts and Performing Arts (Q3)"
AAO Journal;"Advanced and Specialized Nursing (Q4); Complementary and Alternative Medicine (Q4); Complementary and Manual Therapy (Q4)"
Acta Anatomica Sinica;"Anatomy (Q4); Embryology (Q4); Histology (Q4); Structural Biology (Q4)"
Acta Comeniana;"Cultural Studies (Q4); Education (Q4); History (Q4); Philosophy (Q4); Religious Studies (Q4)"
Adhesion Adhesives and Sealants;"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Polymers and Plastics (Q4)"
Advances in Imaging and Electron Physics;"Condensed Matter Physics (Q4); Electrical and Electronic Engineering (Q4); Nuclear and High Energy Physics (Q4)"
Africana Linguistica;Linguistics and Language (Q4)
Agricultural Research Journal;"Agricultural and Biological Sciences (miscellaneous) (Q4); Agronomy and Crop Science (Q4); Food Science (Q4); Horticulture (Q4)"
AIUB Journal of Science and Engineering;"Computer Science (miscellaneous) (Q4); Engineering (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4)"
Akroterion;Classics (Q3)
Algorithmic Finance;"Computational Mathematics (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4); Finance (Q4)"
Anglo-Saxon England;"Arts and Humanities (miscellaneous) (Q4); Cultural Studies (Q4); History (Q4)"
Annales de la Fondation Louis de Broglie;Physics and Astronomy (miscellaneous) (Q4)
Annals of Arid Zone;"Agronomy and Crop Science (Q4); Animal Science and Zoology (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
Annual Review of Gerontology and Geriatrics;"Aging (Q4); Geriatrics and Gerontology (Q4); Gerontology (Q4); Health (social science) (Q4)"
Architektura a Urbanizmus;"Architecture (Q4); Conservation (Q4); Urban Studies (Q4)"
Art Bulletin;"Visual Arts and Performing Arts (Q3); History (Q4)"
Art History and Criticism;"Visual Arts and Performing Arts (Q3); History (Q4); Museology (Q4)"
Artifact;"Visual Arts and Performing Arts (Q3); Computer Graphics and Computer-Aided Design (Q4)"
Atencion Primaria Practica;Family Practice (Q4)
Aussiger Beitrage;"Literature and Literary Theory (Q3); Education (Q4); Linguistics and Language (Q4)"
Avances en Quimica;Chemistry (miscellaneous) (Q4)
BioCycle;"Soil Science (Q4); Waste Management and Disposal (Q4)"
Biofutur;"Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)"
Biosalud;Medicine (miscellaneous) (Q4)
Bollettino di Storia delle Scienze Matematiche;"History and Philosophy of Science (Q4); Mathematics (miscellaneous) (Q4)"
Brill's Series in Church History;"History (Q4); Religious Studies (Q4)"
Brukenthal. Acta Musei;"Visual Arts and Performing Arts (Q3); Conservation (Q4); Ecology, Evolution, Behavior and Systematics (Q4); History (Q4); Museology (Q4); Paleontology (Q4)"
Bulgarian Historical Review;History (Q4)
Bulletin of the Institute of History and Philology Academia Sinica;"Archeology (Q4); Archeology (arts and humanities) (Q4); History (Q4); Linguistics and Language (Q4); Religious Studies (Q4)"
Cahiers Elisabethains;"Literature and Literary Theory (Q3); History (Q4)"
Canadian Journal of Information and Library Science;"Information Systems (Q4); Library and Information Sciences (Q4)"
Cancer Forum;"Cancer Research (Q4); Oncology (Q4)"
Central Europe;"Arts and Humanities (miscellaneous) (Q4); Cultural Studies (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
Chasqui;"Literature and Literary Theory (Q3); Cultural Studies (Q4)"
Chemical Engineering World;"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Industrial and Manufacturing Engineering (Q4)"
China Business Review;"Business and International Management (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Political Science and International Relations (Q4); Strategy and Management (Q4)"
Chinese Journal of Digestive Surgery;"Gastroenterology (Q4); Surgery (Q4)"
Chinese Journal of Gastroenterology;Gastroenterology (Q4)
Chinese Journal of Interventional Imaging and Therapy;Radiology, Nuclear Medicine and Imaging (Q4)
Chinese Journal of Pharmaceutical Biotechnology;"Applied Microbiology and Biotechnology (Q4); Pharmaceutical Science (Q4)"
Chinese Journal of Polar Research;"Atmospheric Science (Q4); Ecology (Q4); Geology (Q4)"
Civil War History;History (Q4)
CLA Journal;"Literature and Literary Theory (Q3); Education (Q4); Linguistics and Language (Q4)"
Cleveland state law review;Law (Q4)
Corrosion and Materials;"Chemistry (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4)"
Critical Studies in Fashion and Beauty;"Visual Arts and Performing Arts (Q3); Arts and Humanities (miscellaneous) (Q4)"
Critical Survey;"Literature and Literary Theory (Q3); Cultural Studies (Q4)"
CTBUH Journal;"Architecture (Q4); Building and Construction (Q4); Urban Studies (Q4)"
Czasopismo Geographiczne;"Earth and Planetary Sciences (miscellaneous) (Q4); Geography, Planning and Development (Q4)"
Deutsche Sprache;"Linguistics and Language (Q4); Psychology (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)"
Diacritica;"Literature and Literary Theory (Q3); Music (Q3); Visual Arts and Performing Arts (Q3); Linguistics and Language (Q4)"
DNA Reporter;LPN and LVN (Q4)
Earth;"Earth and Planetary Sciences (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Renewable Energy, Sustainability and the Environment (Q4)"
Ecclesia Orans;Religious Studies (Q3)
Economia y Politica;"Cultural Studies (Q4); Economics and Econometrics (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
EContent;"Information Systems (Q4); Library and Information Sciences (Q4)"
Eighteenth-Century Ireland;"Arts and Humanities (miscellaneous) (Q4); Cultural Studies (Q4); Sociology and Political Science (Q4)"
Epoche;Philosophy (Q4)
Espiritu;"Philosophy (Q4); Religious Studies (Q4)"
Etudes sur la Mort;Clinical Psychology (Q4)
European Journal of Business Science and Technology;"Business and International Management (Q4); Economics and Econometrics (Q4); Finance (Q4); Management Information Systems (Q4); Management of Technology and Innovation (Q4); Marketing (Q4)"
European Judaism;"Applied Psychology (Q4); Cultural Studies (Q4); History (Q4); Philosophy (Q4); Religious Studies (Q4)"
Exartisis;Psychiatry and Mental Health (Q4)
Ezikov Svyat;"Literature and Literary Theory (Q3); Linguistics and Language (Q4)"
Filozofija i Drustvo;"Philosophy (Q4); Sociology and Political Science (Q4)"
French Colonial History;"History (Q4); Sociology and Political Science (Q4)"
Future Anterior;"Visual Arts and Performing Arts (Q3); Architecture (Q4); Conservation (Q4); History (Q4)"
Gaceta Medica Boliviana;Medicine (miscellaneous) (Q4)
Gaceta Medica de Bilbao;Medicine (miscellaneous) (Q4)
German Monitor;"Literature and Literary Theory (Q3); Cultural Studies (Q4); History (Q4)"
Greece and Rome;"Classics (Q3); Arts and Humanities (miscellaneous) (Q4)"
Hansische Geschichtsblatter;History (Q4)
Histoire Epistemologie Langage;"Linguistics and Language (Q4); Philosophy (Q4); Psychology (miscellaneous) (Q4)"
Historia Naturalis Bulgarica;"Animal Science and Zoology (Q4); Aquatic Science (Q4); Insect Science (Q4); Plant Science (Q4)"
History of Photography;Visual Arts and Performing Arts (Q3)
Homme et la Societe;Social Sciences (miscellaneous) (Q4)
Honeyguide;Animal Science and Zoology (Q4)
Hong Kong Journal of Radiology;Radiology, Nuclear Medicine and Imaging (Q4)
Human Review;Arts and Humanities (miscellaneous) (Q4)
Hume Studies;Philosophy (Q4)
IARC monographs on the evaluation of carcinogenic risks to humans / World Health Organization, International Agency for Research on Cancer;"Cancer Research (Q4); Toxicology (Q4)"
Icon News;"Media Technology (Q3); Conservation (Q4); Materials Science (miscellaneous) (Q4)"
Industry Week;"Industrial and Manufacturing Engineering (Q4); Strategy and Management (Q4)"
In Monte Artium;"Literature and Literary Theory (Q3); Music (Q3); Arts and Humanities (miscellaneous) (Q4); History (Q4); Library and Information Sciences (Q4)"
International Journal of Learning in Higher Education;Education (Q4)
International Journal of Military History and Historiography;History (Q4)
International Journal of Private Law;Law (Q4)
International Journal of Visual Design;"Visual Arts and Performing Arts (Q3); Architecture (Q4)"
Interpretation (United States);"Geology (Q4); Geophysics (Q4); Philosophy (Q4); Sociology and Political Science (Q4)"
ISACA Journal;Control and Systems Engineering (Q4)
Jahrbuch fur Regionalgeschichte;History (Q4)
Janus.net;"Law (Q4); Political Science and International Relations (Q4)"
Japanese Journal of Head and Neck Cancer;"Oncology (Q4); Otorhinolaryngology (Q4)"
Japanese Journal of Religious Studies;Religious Studies (Q3)
Japanese Railway Engineering;Mechanical Engineering (Q4)
Journal of American Culture, The;"Literature and Literary Theory (Q3); Visual Arts and Performing Arts (Q3); Cultural Studies (Q4); History (Q4)"
Journal of Daoist Studies;"Religious Studies (Q3); Philosophy (Q4)"
Journal of Dental Research, Dental Clinics, Dental Prospects;Dentistry (miscellaneous) (Q4)
Journal of Epigraphic Studies;"Archeology (arts and humanities) (Q4); Arts and Humanities (miscellaneous) (Q4); History (Q4)"
Journal of Interactional Research in Communication Disorders;"Linguistics and Language (Q4); Speech and Hearing (Q4)"
Journal of Islamic Thought and Civilization;"Religious Studies (Q3); Cultural Studies (Q4); History (Q4); Sociology and Political Science (Q4)"
Journal of Modern Periodical Studies;"Visual Arts and Performing Arts (Q3); Communication (Q4)"
Journal of Muslim Philanthropy and Civil Society;"Cultural Studies (Q4); Education (Q4); Political Science and International Relations (Q4)"
Journal of Scandinavian Cinema;Visual Arts and Performing Arts (Q3)
Journal of Technology;Engineering (miscellaneous) (Q4)
Journal of the Institute of Latvian History;History (Q4)
Journal of Tianjin Polytechnic University;Polymers and Plastics (Q4)
Journal of Writing in Creative Practice;"Visual Arts and Performing Arts (Q3); Communication (Q4)"
Journal on European History of Law;"History (Q4); Law (Q4)"
Judaisme Ancien - Ancient Judaism;"Literature and Literary Theory (Q3); Religious Studies (Q3); Archeology (Q4); Archeology (arts and humanities) (Q4); History (Q4)"
Khyber Medical University Journal;"Dentistry (miscellaneous) (Q4); Health Professions (miscellaneous) (Q4); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q4)"
Klinikarzt;Medicine (miscellaneous) (Q4)
Kobunshi;"Chemical Engineering (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4); Polymers and Plastics (Q4)"
Kodikas/ Code;"Communication (Q4); Linguistics and Language (Q4)"
Korean Journal of Dermatology;Dermatology (Q4)
Labour History;"History (Q3); Industrial Relations (Q4); Organizational Behavior and Human Resource Management (Q4); Sociology and Political Science (Q4)"
Liturgy;Religious Studies (Q3)
Locus Amoenus;"Visual Arts and Performing Arts (Q3); Arts and Humanities (miscellaneous) (Q4); History (Q4)"
Malta Medical Journal;Medicine (miscellaneous) (Q4)
Manchester Journal of Transnational Islamic Law and Practice;"Law (Q4); Religious Studies (Q4)"
Mapping and Image Science;"Earth-Surface Processes (Q4); Geography, Planning and Development (Q4)"
Mathematical Engineering;"Applied Mathematics (Q4); Engineering (miscellaneous) (Q4); Modeling and Simulation (Q4)"
MDCCC 1800;Arts and Humanities (miscellaneous) (Q4)
Medicinski Casopis;Medicine (miscellaneous) (Q4)
Millennium DIPr;Law (Q4)
Minerva Revista de Filologia Clasica;"Classics (Q3); Literature and Literary Theory (Q3); Linguistics and Language (Q4)"
Mining History;"Economic Geology (Q4); Geotechnical Engineering and Engineering Geology (Q4); History (Q4)"
Modern Drama;Literature and Literary Theory (Q3)
Momento;"Electronic, Optical and Magnetic Materials (Q4); Geophysics (Q4); History and Philosophy of Science (Q4); Physical and Theoretical Chemistry (Q4); Physics and Astronomy (miscellaneous) (Q4)"
Montesquieu.it;"History (Q4); Law (Q4); Philosophy (Q4); Sociology and Political Science (Q4)"
Music, Sound and the Moving Image;"Music (Q3); Visual Arts and Performing Arts (Q3); Communication (Q4); Computer Graphics and Computer-Aided Design (Q4)"
Muveszettorteneti Ertesito;"Visual Arts and Performing Arts (Q3); History (Q4)"
Muzealnictwo;"Conservation (Q4); Museology (Q4)"
North and West London Journal of General Practice;Family Practice (Q4)
Nursing History Review;Nursing (miscellaneous) (Q4)
Nursing Made Incredibly Easy;"Nurse Assisting (Q3); Assessment and Diagnosis (Q4); Fundamentals and Skills (Q4); LPN and LVN (Q4)"
Obrana a Strategie;"Political Science and International Relations (Q4); Safety Research (Q4)"
Open Access Journal of Medicinal and Aromatic Plants;"Complementary and Alternative Medicine (Q4); Drug Discovery (Q4)"
Orbit (Cambridge);Literature and Literary Theory (Q3)
Otorhinolaryngology Clinics;Otorhinolaryngology (Q4)
Paediatria Croatica, Supplement;Pediatrics, Perinatology and Child Health (Q4)
Pakistan Textile Journal;"Agricultural and Biological Sciences (miscellaneous) (Q4); Business and International Management (Q4); Industrial and Manufacturing Engineering (Q4); Materials Science (miscellaneous) (Q4)"
Peitho;Philosophy (Q4)
Petroleum Refinery Engineering;"Energy Engineering and Power Technology (Q4); Fuel Technology (Q4); Process Chemistry and Technology (Q4)"
Pharma Times;Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q4)
Physicist;Physics and Astronomy (miscellaneous) (Q4)
Physiologist;"Physiology (Q4); Physiology (medical) (Q4)"
Portuguese Journal of Pediatrics;Pediatrics, Perinatology and Child Health (Q4)
Power;Energy (miscellaneous) (Q4)
Practitioner;"Family Practice (Q4); Medicine (miscellaneous) (Q4)"
Proceedings of the Boston Area Colloquium in Ancient Philosophy;"Classics (Q3); Philosophy (Q4)"
Productivity Management;"Business, Management and Accounting (miscellaneous) (Q4); Industrial and Manufacturing Engineering (Q4)"
Professional Papermaking;"Chemical Engineering (miscellaneous) (Q4); Industrial and Manufacturing Engineering (Q4); Materials Science (miscellaneous) (Q4); Mechanical Engineering (Q4); Media Technology (Q4)"
Public Transport International;"Automotive Engineering (Q4); Transportation (Q4); Urban Studies (Q4)"
Queensland Review;"Literature and Literary Theory (Q3); Cultural Studies (Q4); History (Q4); Sociology and Political Science (Q4)"
Questions Liturgiques;Religious Studies (Q4)
Radwaste Solutions;"Nuclear Energy and Engineering (Q4); Safety, Risk, Reliability and Quality (Q4); Waste Management and Disposal (Q4)"
Rehabilitacja Medyczna;Rehabilitation (Q4)
Relacoes Internacionais no Mundo Atual;"Law (Q4); Political Science and International Relations (Q4); Public Administration (Q4); Sociology and Political Science (Q4)"
Religious Inquiries;"Religious Studies (Q3); Philosophy (Q4)"
Revista de Estudios Orteguianos;Philosophy (Q4)
Revista de Nefrologia, Dialisis y Trasplante;"Nephrology (Q4); Transplantation (Q4)"
Revista de Pedagogia;Education (Q4)
Revista de Psicologia de la Salud;"Clinical Psychology (Q4); Public Health, Environmental and Occupational Health (Q4)"
Revista Internacional de Tecnologia, Ciencia y Sociedad;"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Information Systems (Q4)"
Revue Belge d'Archeologie et d'Histoire de l'Art;"Visual Arts and Performing Arts (Q3); Archeology (Q4); Archeology (arts and humanities) (Q4)"
Revue Benedictine;Religious Studies (Q3)
Rinsan Shikenj Oha/Journal of the Hokkaido Forest Products Research Institute;"Forestry (Q4); Materials Science (miscellaneous) (Q4)"
Rivista di Filosofia Neo-Scolastica;Philosophy (Q4)
Rivista Storica Italiana;History (Q4)
Rocznik Teologiczny;"History (Q4); Linguistics and Language (Q4); Philosophy (Q4); Religious Studies (Q4)"
Scripta Mediaevalia;Philosophy (Q4)
Sic;"Literature and Literary Theory (Q3); Linguistics and Language (Q4)"
Sobre Practicas Artisticas y Politicas de la Edicion;"Visual Arts and Performing Arts (Q3); Arts and Humanities (miscellaneous) (Q4); Communication (Q4)"
Speciality Petrochemicals;"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Energy Engineering and Power Technology (Q4); Fuel Technology (Q4)"
Sprak och Stil;Linguistics and Language (Q4)
Stahl und Eisen;"Condensed Matter Physics (Q4); Materials Chemistry (Q4); Metals and Alloys (Q4); Physical and Theoretical Chemistry (Q4)"
Studies in African Languages and Cultures;"Literature and Literary Theory (Q3); History (Q4); Linguistics and Language (Q4); Religious Studies (Q4)"
Studies in Iconography;Visual Arts and Performing Arts (Q3)
Studies in Language Variation;"Communication (Q4); Linguistics and Language (Q4)"
Synergies France;Linguistics and Language (Q4)
Synergies Portugal;"Education (Q4); Linguistics and Language (Q4)"
Tamsui Oxford Journal of Information and Mathematical Sciences;Mathematics (miscellaneous) (Q4)
TB - Mitteilungen Forschen und Prufen;"Engineering (miscellaneous) (Q4); Instrumentation (Q4)"
Tidsskriftet FoU i Praksis;Education (Q4)
Tumor;"Cancer Research (Q4); Epidemiology (Q4); Oncology (Q4)"
Turkic Languages;Linguistics and Language (Q4)
Tydskrif vir die Suid-Afrikaanse Reg;Law (Q4)
Uspekhi Fiziologicheskikh Nauk;"Medicine (miscellaneous) (Q4); Physiology (Q4)"
Vergentis;"History (Q4); Law (Q4); Religious Studies (Q4)"
Verhaltenstherapie und Verhaltensmedizin;"Clinical Psychology (Q4); Psychiatry and Mental Health (Q4)"
Verslagen en Mededelingen van de Koninklijke Academie voor Nederlandse Taal- en letterkunde;"Literature and Literary Theory (Q3); Linguistics and Language (Q4)"
Versus;"Applied Psychology (Q4); Linguistics and Language (Q4); Philosophy (Q4)"
Viking and Medieval Scandinavia;History (Q4)
Vulcan;History (Q4)
Wasafiri;"Literature and Literary Theory (Q3); Cultural Studies (Q4)"
World Agriculture;"Agronomy and Crop Science (Q4); Aquatic Science (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Forestry (Q4); Global and Planetary Change (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)"
World of Mining - Surface and Underground;"Geotechnical Engineering and Engineering Geology (Q4); Strategy and Management (Q4)"
World Oil;"Energy Engineering and Power Technology (Q4); Fuel Technology (Q4)"
Year's Work in Critical and Cultural Theory;"Literature and Literary Theory (Q3); Visual Arts and Performing Arts (Q3); Cultural Studies (Q4); History (Q4); Linguistics and Language (Q4); Philosophy (Q4)"
Yokohama Medical Journal;Medicine (miscellaneous) (Q4)
Zeitschrift fur Balkanologie;"Literature and Literary Theory (Q3); Cultural Studies (Q4); History (Q4); Linguistics and Language (Q4)"
Zeitschrift fur Deutsche Philologie;"Literature and Literary Theory (Q3); Linguistics and Language (Q4)"
Zhonghua yi shi za zhi (Beijing, China : 1980);Medicine (miscellaneous) (Q4)
AATCC Review;"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4)"
