Title;Publisher
Cultura Neolatina;Mucchi Editore
Delaware Journal of Public Health;Delaware Academy of Medicine
Digital Textile;World Textile Publications Ltd
Diritto Pubblico;Societa Editrice Il Mulino
Disegnare Idee Immagini;Gangemi Editore S.p.A.
Dynamic Relationships Management Journal;Slovenian Academy of Management
Early Modern Women;University of Maryland
Epidemiologiya i Vaktsinoprofilaktika;Numikom LLC
Estudios de Historia Moderna Contemporanea de Mexico;Universidad Nacional Autonoma de Mexico
Etudes sur le Judaisme Medieval;Brill Academic Publishers
European Journal of Parenteral and Pharmaceutical Sciences;Pharmaceutical and Healthcare Sciences Society
European State Aid Law Quarterly;Lexxion Verlagsgesellschaft mbH
European Studies: The Review of European Law, Economics and Politics;Czech Association for European Studies
Fiziolohichnyi zhurnal (Kiev, Ukraine : 1994);Naukova Dumka
French Studies;Oxford University Press
Genetic Engineering and Biotechnology News;Mary Ann Liebert Inc.
Geo-Eco-Trop;Geo-Eco-Trop
Geologica Macedonica;Goce Delchev University of Shtip
George Eliot-George Henry Lewes Studies;Penn State University Press
Global Pentecostal and Charismatic Studies;Brill Academic Publishers
Guncel Pediatri;Galenos Yayinevi
Hasanuddin Law Review;Faculty of Law, Universitas Hasanuddin
He-Huaxue yu Fangshe Huaxue/Journal of Nuclear and Radiochemistry;Science Press
History of Warfare;Brill Academic Publishers
Home Textiles Today;Reed Business Information (Cahners)
Icon;F. Cass
Ideas, History, and Modern China;Brill Academic Publishers
Immunology and Immunogenetics Insights;Libertas Academica Ltd.
Indian Journal of Practical Pediatrics;The Indian Academy of Pediatrics
Indian Journal of Transplantation;Elsevier BV
Information-Wissenschaft und Praxis;Walter de Gruyter GmbH
Intelligent Systems Reference Library;Springer Science + Business Media
International Journal of Contemporary Iraqi Studies;Intellect Ltd.
International Journal of Interdisciplinary Environmental Studies;Common Ground Research Networks
International Journal of Management and Business Research;Islamic Azad University
International Journal of Operations and Quantitative Management;International Forum of Management Scholars (INFOMS)
International Journal of Pharmaceutical Quality Assurance;Dr. Yashwant Research Labs Pvt. Ltd.
International Journal of Stochastic Analysis;Hindawi Limited
International Review of Mission;Wiley-Blackwell
International Water and Irrigation;SNER Communications Ltd.
Intersections;Brill Academic Publishers
Iranian Journal of Polymer Science and Technology;Iran Polymer and Petrochemical Institute
Islam in Africa;Brill Academic Publishers
Japanese Journal of Cancer and Chemotherapy;Japanese Journal of Cancer and Chemotherapy Publishers Inc.
Japanese Pharmacology and Therapeutics;Life Science Publishing Co. Ltd
Jewish Identities in a Changing World;Brill Academic Publishers
Journal of Acute Care Physical Therapy;Lippincott Williams and Wilkins
Journal of Architecture and Planning;College of Architecture and Planning, Chung Hua University
Journal of Chinese Cinemas;Taylor and Francis Ltd.
Journal of Clinical and Translational Endocrinology: Case Reports;Elsevier BV
Journal of Current Science and Technology;Rangsit University
Journal of Dynamics and Control;zhong guo li xue xue hui hu nan da xue
Journal of European Economic History;Bancaria Editrice
Journal of Film and Video;University of Illinois Press
Journal of Information Systems Security;Information Institute
Journal of Islamic Manuscripts;Brill Academic Publishers
Journal of Medieval and Early Modern Studies;Duke University Press
Journal of Nepal Paediatric Society;Nepal Paediatric Society (NEPAS)
Journal of Religion and Violence;Philosophy Documentation Center
Journal of Social Development in Africa;School of Social Work
Journal of the Royal Asiatic Society;Cambridge University Press
Journal of Translational Internal Medicine;De Gruyter Open Ltd.
Journal of Veterinary Parasitology;Indian Association for the Advancement of Veterinary Parasitology
Kratylos;Dr. Ludwig Reichert Verlag
Later Medieval Europe;Brill Academic Publishers
Legal Aspects of International Organization;Brill Academic Publishers
Library of the Written Word;Brill Academic Publishers
Linguistic Approaches to Literature;John Benjamins Publishing Company
Logistics Journal;Wissenschaftliche Gesellschaft fur Technische Logistik
London Journal;Maney Publishing
"L' Orthodontie fran&amp;#x00e7;aise";John Libbey Eurotext
Medical Journal of Wuhan University;Editorial Board of Medical Journal of Wuhan University
Mesto a Dejiny;Pavol Jozef Safarik University in Kosice, Department of History, Faculty of Arts
Ming studies;Maney Publishing
Modern Chinese Philosophy;Brill
Monographiae Botanicae;Polish Botanical Society
Museums and Social Issues;Taylor and Francis Ltd.
NanoScience and Technology;Springer Verlag
New Testament Tools, Studies and Documents;Brill
New Zealand College of Midwives Journal;New Zealand College of Midwives
Nineteenth Century Music;University of California Press
North American Fungi;Pacific Northwest Fungi Project
Numismatic Chronicle;Royal Numismatic Society
Orient;GIGA German Institute of Global and Area Studies
PalArch's Journal of Archaeology of Egypt/ Egyptology;PalArch Foundation
Perfect Beat;Equinox Publishing Ltd
Performance Research;Taylor and Francis Ltd.
Pharmaceutical Technology;Advanstar Communications Inc.
Pharmaceutical Technology Europe;Advanstar Communications Inc.
Photonics Spectra;Laurin Publishing Co. Inc.
Pneumologia;Walter de Gruyter
Poznan Studies in the Philosophy of the Sciences and the Humanities;Editions Rodopi B.V.
Psychopharmakotherapie;Wissenschaftliche Verlagsgesellschaft Stuttgart
Psychoterapia;Polish Psychiatric Association
Publications on Ocean Development;Brill Academic Publishers
Quality Progress;American Society for Quality
Queen Mary Studies in International Law;Brill Academic Publishers
Recherche et Pratiques Pedagogiques en Langues de Specialite - Cahiers de l'APLIUT;Association des Professeurs de Langues des Instituts Universitaires de Technologie (APLIUT)
Recherche - Transports - Securite;Editions NecPlus
Review of Marketing Science;Walter de Gruyter GmbH
Revista de Estudios Colombianos;Asociacion de Colombianistas
Revista de Gestao Social e Ambiental;Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao
Revista Mexicana de Cardiologia;Asociacion Nacional de Cardiologos de Mexico
Revista Mexicana de Ingenieria Biomedica;Sociedad Mexicana de Ingenieria Biomedica
Revue du MAUSS;Editions La Decouverte
Ri-Vista;Firenze University Press
Russian History and Culture;Brill
Saudi Journal of Medicine and Medical Sciences;Wolters Kluwer Medknow Publications
Schweizerische Zeitschrift fur Religions- und Kulturgeschichte;Academic Press Fribourg
Sinica Leidensia;Brill
Social and Economic Studies;University of the West Indies
Solid State Technology;Pennwell Corporation
South African law journal;"Juta &amp; Co. Ltd."
SpringerBriefs in Computer Science;Springer Nature Switzerland AG
Springer Climate;Springer International Publishing AG
Storytelling, Self, Society;Wayne State University Press
Studia Anglica Posnaniensia;De Gruyter Open Ltd.
Studies in Jewish History and Culture;Brill Academic Publishers
Studies in Semitic Languages and Linguistics;Brill Academic Publishers
Texts and Studies in Eastern Christianity;Brill Academic Publishers
Tezhong Zhuzao Ji Youse Hejin/Special Casting and Nonferrous Alloys;Journal Office of Special Casting and Nonferrous Alloys
University of Bucharest Review: Literary and Cultural Studies Series;University of Bucharest
USDA Forest Service - Research Papers RMRS;USDA Forest Service
USDA Forest Service - Resource Bulletin PNW-RB;USDA Forest Service
Uspehi Molekularnoj Onkologii;ABC-press Publishing House
Western Folklore;California Folklore Society
Yosetsu Gakkai Shi/Journal of the Japan Welding Society;Japan Welding Society
Academia (Greece);
Acta Linguistica Asiatica;Ljubljana University Press
Ambix;Maney Publishing
American Pharmaceutical Review;Russell Publishing LLC
Ancient Judaism and Early Christianity;Brill Academic Publishers
Annals of Science;Taylor and Francis Ltd.
Barnboken;Swedish Institute for Children's Books
Boletim Paranaense de Geosciencias;Universidade Federal do Parana
Bulletin de l'Academie Nationale de Medecine;Elsevier Masson s.r.l.
Byzantion Nea Hellas;Universidad de Chile
Caliope;Penn State University Press
Cedille;Asociacion de Profesores de Frances de la Universidad Espanola
Chinese Journal of Radiological Medicine and Protection;Chinese Medical Journals Publishing House Co.Ltd
Comunicacoes Geologicas;Instituto Nacional de Engenharia e Tecnologia Industrial
Cosmos and History;
Cromohs;Firenze University Press
Current Journal of Neurology;Tehran University of Medical Sciences
Danubius;Muzeul de Istorie Galati
Dialog;Wiley-Blackwell
ELOPE: English Language Overseas Perspectives and Enquiries;Ljubljana University Press
Estudos de Psicologia;Universidade Federal do Rio Grande do Norte
Etica e Politica;University of Trieste, Department of Philosophy
Fizyoterapi Rehabilitasyon;Turkish Physical Therapy Association
Folia Linguistica Historica;De Gruyter Mouton
History and Sociology of South Asia;SAGE Publications Ltd
Hong Kong Practitioner;Hong Kong College of Family Physicians
Huadong Ligong Daxue Xuebao /Journal of East China University of Science and Technology;East China University of Science and Technology
Huaxue Fanying Gongcheng Yu Gongyi/Chemical Reaction Engineering and Technology;Zhejiang University Press
International Journal of Designed Objects;Common Ground Research Networks
International Journal of Systematic Theology;Wiley-Blackwell Publishing Ltd
Involve;Mathematical Sciences Publishers
Journal fur Reproduktionsmedizin und Endokrinologie;Krause und Pachernegg GmbH
Journal of Advanced Pharmacy Education and Research;"Society of Pharmaceutical Education &amp; Research [SPER]"
Journal of Agriculture of the University of Puerto Rico;Agricultural Experiment Station
Journal of Computing and Information Technology;The University of Zagreb Computing Centre (SRCE)
Journal of Isfahan Medical School;Isfahan University of Medical Sciences(IUMS)
Journal of the Geothermal Research Society of Japan;The Geothermal Research Society of Japan
Journal of the Illuminating Engineering Institute of Japan (Shomei Gakkai Shi);The Illuminating Engineering Institute of Japan
Journal of the Korean Society of Radiology;Korean Society of Radiology
Journal of Xi'an Jiaotong University (Medical Sciences);Xi'an Medical University
Lakartidningen;Swedish Medical Association
Lecture Notes in Computational Vision and Biomechanics;Springer International Publishing AG
Legal Reference Services Quarterly;Taylor and Francis Ltd.
London Business School Review;Wiley-Blackwell Publishing Ltd
McGill Journal of Law and Health;Faculty of Law, McGill University
Medicina Interna de Mexico;Comunicaciones Cientificas Mexicanas S.A. de C.V.
National Toxicology Program technical report series;U.S. Public Health Service
Ochrona Przed Korozja;Wydawnictwo SIGMA - N O T Sp. z o.o.
Open Pain Journal;Bentham Science Publishers B.V.
Opus;
Orbis Litterarum;Wiley-Blackwell Publishing Ltd
Philological Quarterly;University of Iowa
Pneumologe;Springer Verlag
Poetica;Wilhelm Fink Verlag
Prometheus;Pluto Journals
Radovi Zavoda za Hrvatsku Povijest;Institute of Croatian History, Faculty of Philosophy Zagreb
Revija za Kriminalistiko in Kriminologijo;Republiski sekretariat za notranje zadeve SR Slovenije
Revista de Estudios Hispanicos;Washington University in St. Louis
Revista Odonto Ciencia;Pontificia Universidade Catolica do Rio Grande do Sul
Revista Portuguesa de Estomatologia, Medicina Dentaria e Cirurgia Maxilofacial;Sociedade Portguesa de Estomatologia e Medicina Dentaria
Rijksmuseum Bulletin;Rijksmuseum Publications Department
Rivista Storica dell'Antichita;Patron Editore S.r.l.
Sankhya: The Indian Journal of Statistics;Indian Statistical Institute
South East Asian Journal of Mathematics and Mathematical Sciences;Ramanujan Society of Mathematics and Mathematical Sciences
Stred;Academy of Sciences Czech Republic
Studia Monastica;Publicacions de l' Abadia de Montserrat
Studia Poliana;Servicio de Publicaciones de la Universidad De Navarra
Studies in East European Thought;Springer Netherlands
Tempo Psicanalitico;Instituto de Medicina Psicologica, Psicanalise et Psiquiatria Dinamica
Tijdschrift Voor Nederlandse Taal-en Letterkunde;Uitgeverij Verloren
Travailler;Martin Media
University of Cincinnati Law Review;University of Cincinnati College of Law
USDA Forest Service - General Technical Report PNW;USDA Forest Service
Vascular Cell;BioMed Central Ltd.
Zeitschrift fur Antikes Christentum;Walter de Gruyter GmbH
Zivot Umjetnosti;Institute of Art History
Academic Journal of Second Military Medical University;Second Military Medical University Press
Allergologie;Dustri-Verlag Dr. Karl Feistle
Al-Qantara;CSIC Consejo Superior de Investigaciones Cientificas
Analisi Linguistica e Letteraria;EDUCatt
Applied Radiology;Anderson Publishing Ltd
Arbeitsmedizin Sozialmedizin Umweltmedizin;Gentner Verlag
Archives;British Records Association
Archiv fur Papyrusforschung und Verwandte Gebiete;Walter de Gruyter GmbH
Asian Biotechnology and Development Review;RIS
Aspasia;Berghahn Books
Biologicheskie Membrany;Russian Academy of Sciences
British Tax Review;Thomson Reuters
Bulletin of the Physical Fitness Research Institute;Meiji Life Foundation of Health and Welfare
Cahiers de Linguistique Asie Orientale;Brill Academic Publishers
Camera Obscura;Duke University Press
"Canadian bulletin of medical history = Bulletin canadien d'histoire de la m&amp;#x00e9;decine";University of Toronto Press
Caribbean Geography;University of the West Indies
Chem-Bio Informatics Journal;Chem-Bio Informatics Society
Chinese Journal of Dermatology;Chinese Medical Journals Publishing House Co.Ltd
Chirurgia (Turin);Minerva Medica
Clinica e Investigacion en Ginecologia y Obstetricia;Ediciones Doyma, S.L.
Corrosion and Protection;Shanghai Research Institute of Materials
Critical Quarterly;Wiley-Blackwell
Dancecult;Public Knowledge Project
Dela;University of Ljubljana
Deutsch als Fremdsprache;Erich Schmidt Verlag GmbH & Co.
Dilbilim Arastirmalari Dergisi;Bogazici University Press
Emerita, Revista de linguistica y filologia clasica;CSIC Consejo Superior de Investigaciones Cientificas
ESQ - Journal of the American Renaissance;Washington State University Press
Estudos em Comunicacao;Universidade da Beira Interior
European Legacy;Taylor and Francis Ltd.
Fabrications;Routledge
Fabriksoftware;Gito Verlag
Farbe und Lack;Vincentz Verlag
Food Science and Technology;Institute of Food Science and Technology (IFST)
Forum Historiae;Slovak Academy of Sciences
FTR - Turkiye Fiziksel Tip ve Rehabilitasyon Dergisi;Turkish Society of Physical Medicine and Rehabilitation
Gastroenterologe;Springer Verlag
Hiperboreea;Balkan History Association
Historian;Wiley-Blackwell Publishing Ltd
Hyle;Hyle Publications
International Journal of Advanced Media and Communication;Inderscience Enterprises Ltd
International Journal of China Studies;Institute of China Studies, University of Malaya
International Journal of Nano and Biomaterials;Inderscience Enterprises Ltd
International Studies in Human Rights;Brill Academic Publishers
Iran and the Caucasus;Brill Academic Publishers
Italianist;Maney Publishing
Journal of Celtic Linguistics;University of Wales Press
Journal of Contextual Economics-Schmollers Jahrbuch;Duncker und Humblot GmbH
Journal of Food Science and Biotechnology;
Journal of Information Ethics;McFarland and Company, Inc
Journal of Japanese and Korean Cinema;Taylor and Francis Ltd.
Journal of Modern Turkish History;Hacettepe University
Journal of Public and International Affairs;Princeton University
Journal of Quality;Chinese Society for Quality
Journal of Religious History;Wiley-Blackwell
Journal of Social, Political, and Economic Studies;Council for Social and Economic Studies
Journal of Stem Cells;Nova Science Publishers, Inc.
Journal of University of Science and Technology of China;China University of Science and Technology
Kuwait Medical Journal;Kuwait Medical Association
Labour, Capital and Society;Labour, Capital and Society
Lekar a Technika;Czech Medical Association J.E. Purkyne
Lino;Universidad de Oviedo
Mathematics Magazine;Mathematical Association of America
Mathematics Student;The Indian Mathematical Society
Medical Visualization;VIDAR Publishing House
Military Balance, The;Taylor and Francis Ltd.
MMW Fortschritte der Medizin;Springer International Publishing AG
Monumenta Nipponica;Sophia University
Museum History Journal;Taylor and Francis Ltd.
Neue Zeitschrift fur Systematische Theologie und Religionsphilosophie;Walter de Gruyter GmbH
Nigerian Journal of Nutritional Sciences;Nutrition Society of Nigeria
Nobel Medicus;Nobelmedicus
Nursing New Zealand (Wellington, N.Z. : 1995);New Zealand Nurses' Organization
Oceanide;Departamento de Filologia Espanola, Moderna y Clasica, Universitat de les Illes Balears
Oslo Law Review;University of Oslo
Osteuropa;Berliner Wissenschafts-Verlag
Pakistan Heart Journal;Pakistan Cardiac Society
Papers on Global Change IGBP;De Gruyter Open Ltd.
Pediatria Integral;Ediciones Ergon SA
Perinatology;Himalaya Drug Company
Phainomena;Zalozba Nova Revija
Photographies;Routledge
Physics in Perspective;Birkhauser Verlag Basel
Psiquiatria Biologica;Elsevier Doyma
Quaderni di Geofisica;Istituto Nazionale di Geofisica e Vulcanologia
Queen Mary Journal of Intellectual Property;Edward Elgar Publishing Ltd.
Renaissance Studies;Wiley-Blackwell Publishing Ltd
Revista de Fitoterapia;CITA Publicaciones y Documentacion
Revista Digital de Biblioteconomia e Ciencia da Informacao;Universidade Estadual de Campinas
Revista Mexicana de Oftalmologia;Elsevier Doyma
Revue de Psychotherapie Psychanalytique de Groupe;Editions Eres
Revue d'Histoire des Textes;Brepols Publishers
Revue Internationale de Criminologie et de Police Technique et Scientifique;Polymedia Meichtry SA
Shanghai Chest;AME Publishing Company
Shanghai Ligong Daxue Xuebao/Journal of University of Shanghai for Science and Technology;University of Shanghai for Science and Technology
Slavonica;Maney Publishing
Stomatologiya;Media Sphera Publishing Group
Studi e Saggi Linguistici;Edizioni ETS
Studies in Chinese Religions;Routledge
Studies in Travel Writing;Taylor and Francis Ltd.
Tabularia;Centre de Recherches Archeologiques et Historiques Anciennes et Medievales, Universite de Caen
Technoetic Arts;Intellect Ltd.
Teologinen Aikakauskirja;Teologinen Julkaisuseura
Translocal Chinese: East Asian Perspectives;Brill Academic Publishers
Typological Studies in Language;John Benjamins Publishing Company
Video-Assisted Thoracic Surgery;AME Publishing Company
Visual Ethnography;Visual Ethnography
Wacana Seni;Penerbit Universiti Sains Malaysia
War in History;SAGE Publications Ltd
Wenshan Review of Literature and Culture;National Chengchi University
Zeitschrift fur Herz-, Thorax- und Gefasschirurgie;D. Steinkopff-Verlag
Zhonghua fang she xue za zhi Chinese journal of radiology;Zhonghua Yixuehui Zazhishe
Academe;American Association of University Professors
Acta Orientalia;Akademiai Kiado
Acta Paedagogica Vilnensia;Vilnius University Press
Activitas Nervosa Superior Rediviva;Institute of Normal and Pathological Physiology, Slovak Academy of Sciences
Advancing Microelectronics;IMAPS-International Microelectronics and Packaging Society
Al-'Arabiyya;Georgetown University Press
Annales Francaises d'Oto-Rhino-Laryngologie et de Pathologie Cervico-Faciale;Elsevier Masson s.r.l.
Appita Journal;Appita Inc.
Architecture and Culture;Taylor and Francis Ltd.
Archivos de Neurociencias;Instituto Nacional de Neurologia y Neurocirugia Manuel Velosco Suarez
Art in America;Art in America
Australian Journal of Herbal and Naturopathic Medicine;Naturopaths and Herbalists Association of Australia
Balkan Journal of Philosophy;Bulgarian Academy of Sciences
Biblical Archaeology Review;
Boletim do Arquivo da Universidade de Coimbra;Imprensa da Universidade de Coimbra
Boletin Americanista;Universitat de Barcelona
Cahiers de Geographie de Quebec;Universite Laval
Campo Juridico;The Advanced Institute of Higher Education of Barreiras (IAESB)
Canadian Review of American Studies;
Civilistica.com;
Clinical and Experimental Morphology;MDV Group
Contemporary Arab Affairs;Routledge
Crossings;Intellect Ltd.
Cuadernos de Derecho Transnacional;Universidad Carlos III de Madrid
Cuadernos de Literatura;Pontificia Universidad Javeriana
Czech Yearbook of Public and Private International Law;Czech Society of International Law
Dialogues d'Histoire Ancienne;Universite de Franche-Comte, U F R des Sciences du Langage, de l'Homme et de la Societe
Diritto Pubblico Comparato ed Europeo;Societa Editrice Il Mulino
Disegno;UID Unione Italiana Disegno
Documenta et Instrumenta;Universidad Complutense Madrid
Drawing: Research, Theory, Practice;Intellect Ltd.
EARSeL eProceedings;European Association of Remote Sensing Laboratories
Electrum;Jagiellonian University Press
Enfermeria Nefrologica;Sociedad Espanola de Enfermeria Nefrologica
Eos (Poland);Polskie Towarzystwo Filologiczne
Estudos de Literatura Brasileira Contemporanea;Universidade de Brasilia
Etnografia polska;Polska Akademia Nauk
Film History: An International Journal;Indiana University Press
FMC Formacion Medica Continuada en Atencion Primaria;Ediciones Doyma, S.L.
Gazi Medical Journal;Gazi Universitesi
Geographical Bulletin - Gamma Theta Upsilon;Kutztown  University of Pennsylvania
Harvard Design Magazine;Harvard University
Hejubian Yu Dengliziti Wuli/Nuclear Fusion and Plasma Physics;Yuan Zi Neng Chuban She
Holocaust and Genocide Studies;Oxford University Press
Huaxue Gongcheng/Chemical Engineering;Editorial Office of Chemical Engineering (China)
Humans and Nature;Museum of Nature and Human Activities
InterEULawEast;University of Zagreb Faculty of Economics and Business
International Journal of Applied Systemic Studies;Inderscience Enterprises Ltd.
International Journal of Diversity in Education;Common Ground Research Networks
International Journal of Francophone Studies;Intellect Ltd.
International Journal of Interdisciplinary Educational Studies;Common Ground Research Networks
Islamic Africa;Brill Academic Publishers
Israel Economic Review;Bank of Israel
Issues in Language Studies;Universiti Malaysia Sarawak
Italian Journal of Anatomy and Embryology;Firenze University Press
Jahrbucher fur Geschichte Osteuropas;Franz Steiner Verlag Wiesbaden GmbH
James Baldwin Review;Manchester University Press
Japanese Journal of Limnology;Japanese Society of Limnology
Journal de Pediatrie et de Puericulture;Elsevier Masson s.r.l.
Journal of Aesthetic Education;University of Illinois Press
Journal of Ancient History and Archaeology;Mega Publishing House
Journal of Business and Entrepreneurship;University of South Florida, St. Petersburg
Journal of Canadian Studies;University of Toronto Press
Journal of Health Administration;Iran University of Medical Sciences
Journal of Iranian Medical Council;slamic Republic of Iran Medical Council
Journal of Japan Institute of Electronics Packaging;The Japan Institute of Electronics Packaging
Journal of Lusophone Studies;American Portuguese Studies Association
Journal of Musicology;University of California Press
Journal of Obstetrics and Women's Diseases;Eco-Vector LLC
Journal of Popular Film and Television;Routledge
Journal of Postgraduate Medical Institute;Postgraduate Medical Institute
Journal of Skyscape Archaeology;Equinox Publishing Ltd
Journal of Sufi Studies;Brill Academic Publishers
Journal of the Institute of Telecommunications Professionals;Institute of Telecommunications Professionals
Journal of the Japan Society for Precision Engineering;Japan Society for Precision Engineering
Journal of Transnational American Studies;eScholarship Repository
Journal of Veterinary Clinics;Korean Society of Veterinary Clinics
Komunikacija i Kultura Online;FOKUS - Forum za interkulturnu komunikaciju
Konstruktion;"VDI Fachmedien GmBbH &amp; Co."
Kyobu geka. The Japanese journal of thoracic surgery;Nankodo Co., Ltd.
Laval Theologique et Philosophique;Universite Laval, Departement des Litteratures
Law and Literature;Taylor and Francis Ltd.
Lin chuang er bi yan hou tou jing wai ke za zhi = Journal of clinical otorhinolaryngology, head, and neck surgery;Tong ji yi ke da xue Fu shu xie he yi yuan
Literator;AOSIS (Pty) Ltd
LIT Literature Interpretation Theory;Routledge
Manusya;Chulalongkorn University
Medicina Clinica Practica;Elsevier Espana
Mexican Law Review;Universidad Nacional Autonoma de Mexico
Music and Letters;Oxford University Press
Narodopisny vestnik;Czech Ethnological Society
Neurologie und Rehabilitation;Hippocampus Verlag
New Cinemas;Intellect Ltd.
New Voices in Translation Studies;
Online Journal of Health and Allied Sciences;Light House Polyclinic
Open Hypertension Journal;Bentham Science Publishers B.V.
Open Urology and Nephrology Journal;Bentham Science Publishers B.V.
Ornitologia Colombiana;Asociacion Colombiana de Ornitologia
Paediatrica Indonesiana;Indonesian Society of Pediatrician
Pakistan Journal of Scientific and Industrial Research Series B: Biological Sciences;PCSIR-Scientific Information Centre
Paragraph;Edinburgh University Press
Partial Answers;Johns Hopkins University Press
Peace and Conflict Studies;Network of Peace and Conflict Studies
Polish Journal of Aesthetics;Jagiellonian University - Institute of Philosophy
Portuguese Journal of Social Science;Intellect Ltd.
Problemy sotsial'noi gigieny i istoriia meditsiny / NII sotsial'noi gigieny, ekonomiki i upravleniia zdravookhraneniem im. N.A. Semashko RAMN, AO 'Assotsiatsiia 'Meditsinskaia literatura';Meditsina Publishers
Proceedings of the International Astronomical Union;Cambridge University Press
Psicoterapia e Scienze Umane;FrancoAngeli Edizioni
Psychologist;British Psychological Society
Publishing History;
Quaerendo;Brill Academic Publishers
Radovi Instituta za Povijest Umjetnosti;Institute of Art History
Res Militaris;
Revista Chilena de Neuro-Psiquiatria;Sociedad de Neurologia Psiquiatria y Neurocirugia
Revista Mexicana de Anestesiologia;Colegio Mexicano de Anestesiologia A.C.
Revue Biblique;J. Gabalda et Cie
Revue de Chirurgie Orthopedique et Traumatologique;Elsevier Masson s.r.l.
Rivista di Storia della Filosofia;FrancoAngeli Edizioni
Romance Quarterly;Taylor and Francis Ltd.
RSC Polymer Chemistry Series;Royal Society of Chemistry
Russian Neurological Journal;Medicinskoe Informacionnoe agentstvo
Samuel Beckett Today - Aujourd hui;Editions Rodopi b.v.
Sea Technology;Compass Publications Inc.
Serbian Journal of Experimental and Clinical Research;University of Kragujevac, Faculty of Science
Shedet;Fayoum University - Faculty of Archaeology
SKASE Journal of Theoretical Linguistics;
Social Sciences;East View Information Services
Sozialer Fortschritt;Duncker und Humblot GmbH
Sportske Nauke i Zdravlje;Pan - European University Apeiron
Suo;Suoseura - Finnish Peatland Society
Teaching Artist Journal;Routledge
Temple Law Review;Temple University
Theoretical Biology Forum;Fabrizio Serra Editore srl
Transmodernity;University of California, Merced
Vasomed;Viavital Verlag GmbH
Veterinaria;SCIVAC - Societa Culturale Italiana Veterinari per Animali da Compagnia
Women's Writing;Routledge
World Journal of Laparoscopic Surgery;Jaypee Brothers Medical Publishers (P) Ltd
Xiandai Huagong/Modern Chemical Industry;China National Chemical Information Center
Zeitschrift fur Celtische Philologie;Walter de Gruyter GmbH
Acotaciones;Real Escuela Superior de Arte Dramatico
Acta Gastroenterologica Latinoamericana;Sociedad Argentina de Gastroenterologia
Ad Limina;Xunta de Galicia
Aleph;Indiana University Press
Algebraic Structures and their Applications;Yazd University
American Journal of Forensic Psychology;American College of Forensic Psychology
Anales de la Asociacion Fisica Argentina;Centro de Investigaciones en Laseres y Aplicaciones
Arbeiderhistorie;Arbeiderbevegelsens arkiv og bibliotek
Arcadia;Walter de Gruyter GmbH
Archives of Hellenic Medicine;BETA Medical Publishers Ltd
ARYS. Antiguedad, Religiones y Sociedades;Universidad Carlos III de Madrid
Asian Cinema;Intellect Ltd.
Asia Pacific Journal on Human Rights and the Law;Martinus Nijhoff Publishers
Asiatic;International Islamic University Malaysia
Aut Aut;La Nuova Italia Editrice S.p.A
Autopsy and Case Reports;Hospital Universitario da Universidade de Sao Paulo
Babesch;Peeters Publishers
Buddhist-Christian Studies;University of Hawaii Press
Byzantion: Revue Internationale des Etudes Byzantines;Universa Press
Cahiers des Etudes Anciennes;Departement d'etudes anciennes et de sciences des religions, l'Universite d'Ottawa
Canadian-American Slavic Studies;Brill Academic Publishers
Caribbean Quarterly;Extra Mural Department of the University College of the West Indies
CASE Journal;Emerald Group Publishing Ltd.
Casopis pro Moderni Filologii;Charles University, Faculty of Arts
CEA Critic;Johns Hopkins University Press
Chinese Annals of History of Science and Technology;Science in China Press
Chinese Journal of Infection and Chemotherapy;Editorial Department of Chinese Journal of Infection
Chinese Journal of Obstetrics and Gynecology and Pediatrics;Chinese Medical Journals Publishing House Co.Ltd
CHINOPERL: Journal of Chinese Oral and Performing Literature;University of Hawaii Press
Collectanea Christiana Orientalia;Universidad de Cordoba
Contrastes;Universidad de Malaga
Contributions to Economics;Springer International Publishing AG
Corrosion Management;Square One Advertising and Design Limited
Counselling Psychology Review;The British Psychological Society
Ecumenical Review;Wiley-Blackwell
EEAG Report on the European Economy;Ifo institute for Economic Research e.V.
Emily Dickinson Journal;Johns Hopkins University Press
Ephemerides Theologicae Lovanienses;Peeters Publishers
Espaces et Societes;ERES
European Journal of Oncology;Mattioli1885
Filologija;Hrvatska Akademija Znanosti i Umjetnosti
Folia Onomastica Croatica;Hrvatska Akademija Znanosti i Umjetnosti
Fruit Growing Research;Research institute of Fruit Growing PITESTI
Glass Technology: European Journal of Glass Science and Technology Part A;Society of Glass Technology
Glossae;Institute for Social, Political and Legal Studies
Gregorianum;Gregorian University Press
Herodote;Elsevier Masson s.r.l.
Historia Caribe;Universidad Del Atlantico
Historicka Sociologie;Charles University
Historisk Tidskrift;Svenska Historiska Foreningen
History of Retailing and Consumption;Routledge
Iberoromania;Walter de Gruyter GmbH
International Journal of Community Diversity;Common Ground Research Networks
International Journal of Environmental Sustainability;Common Ground Research Networks
International Journal of Nuclear Security;University of Tennessee Institute for Nuclear Security
International Journal of Regional and Local History;Taylor and Francis Ltd.
International Sugar Journal;Agra Europe Ltd.
Japanese Journal of Geriatrics;Japan Geriatrics Society
Jordan Medical Journal;The University of Jordan
Journal for the Study of the Historical Jesus;Brill Academic Publishers
Journal of Bacteriology and Virology;The Korean Society for Mocrobiology / The Korean Society of Virology
Journal of General Education, The;Penn State University Press
Journal of Higher Education Theory and Practice;North American Business Press
Journal of Japan Industrial Management Association;Nihon Keikei Kogakkai
